idade,genero,pais,nivel_educacional,anos_programando,cargo_atual,anos_usando_ml,salario_anual_usd,linguagens_usadas,bancos_de_dados_usados,ferramentas_bi_usadas
35-39,Woman,Poland,No formal education past high school,1-3 years,Data Scientist,Online Service/Internet-based Services,"3,000-3,999",Python;SQL,,
22-24,Woman,Nigeria,Bachelor’s degree,< 1 years,"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Academics/Education,$0-999,Python,MongoDB;Snowflake,
50-54,Woman,United States of America,Bachelor’s degree,I have never written code,"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Computers/Technology,"80,000-89,999",,,
40-44,Woman,India,Professional doctorate,3-5 years,Data Scientist,Computers/Technology,"7,500-9,999",Python;SQL;MATLAB,MySQL;PostgreSQL;Snowflake,
22-24,Woman,Nigeria,Master’s degree,< 1 years,Data Scientist,Accounting/Finance,"1,000-1,999",Python;R;SQL,,
25-29,Woman,Nigeria,Bachelor’s degree,I have never written code,"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Accounting/Finance,"1,000-1,999",,,
22-24,Woman,India,Bachelor’s degree,1-3 years,"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Accounting/Finance,"15,000-19,999",Python;Java,Microsoft SQL Server,
30-34,Woman,India,Bachelor’s degree,5-10 years,"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Broadcasting/Communications,"10,000-14,999",SQL;C#,,
30-34,Woman,Canada,Bachelor’s degree,5-10 years,Data Scientist,Computers/Technology,"80,000-89,999",Python,SQLite,
25-29,Woman,India,Master’s degree,I have never written code,"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Medical/Pharmaceutical,$0-999,,,
45-49,Woman,United States of America,Master’s degree,5-10 years,Data Scientist,Computers/Technology,"200,000-249,999",Python;SQL;Java,,
30-34,Woman,Other,Master’s degree,1-3 years,"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Government/Public Service,"10,000-14,999",Python;SQL,,
40-44,Woman,India,Master’s degree,5-10 years,Data Scientist,Computers/Technology,"10,000-14,999",Python,,
30-34,Woman,United States of America,Master’s degree,< 1 years,"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Academics/Education,"70,000-79,999",,,
25-29,Woman,Philippines,Master’s degree,1-3 years,Data Engineer,Computers/Technology,"20,000-24,999",Python;SQL;Bash,MySQL;PostgreSQL;SQLite,
35-39,Woman,India,I prefer not to answer,< 1 years,Data Scientist,Broadcasting/Communications,,Python,,
45-49,Woman,United States of America,Master’s degree,< 1 years,"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Computers/Technology,"50,000-59,999",Python;SQL,,
22-24,Woman,United States of America,Bachelor’s degree,1-3 years,"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Non-profit/Service,"60,000-69,999",Python;SQL,,
22-24,Woman,India,Bachelor’s degree,1-3 years,"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Manufacturing/Fabrication,"40,000-49,999",SQL,,
30-34,Woman,United States of America,Master’s degree,3-5 years,"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Non-profit/Service,"90,000-99,999",Python;Javascript,SQLite;Oracle Database,
30-34,Woman,Nigeria,Bachelor’s degree,< 1 years,"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Government/Public Service,,Python;SQL,,
40-44,Woman,Argentina,Some college/university study without earning a bachelor’s degree,< 1 years,Data Scientist,Medical/Pharmaceutical,"7,500-9,999",Python;SQL,,
40-44,Woman,United States of America,Master’s degree,5-10 years,"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Computers/Technology,,Python;R;SQL,SQLite,
22-24,Woman,India,Master’s degree,< 1 years,Data Scientist,Academics/Education,,Python;SQL;C++;MATLAB,,
22-24,Woman,India,Master’s degree,1-3 years,"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Manufacturing/Fabrication,,Python;R,,
22-24,Woman,United Kingdom of Great Britain and Northern Ireland,Bachelor’s degree,5-10 years,Data Scientist,Retail/Sales,"40,000-49,999",Python;SQL,,
30-34,Woman,Kenya,Bachelor’s degree,1-3 years,Data Scientist,Online Service/Internet-based Services,"1,000-1,999",Python;SQL,,
25-29,Woman,Hong Kong (S.A.R.),I prefer not to answer,1-3 years,"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Shipping/Transportation,,Python;R;SQL;Java,,
35-39,Woman,United States of America,Doctoral degree,20+ years,Data Scientist,Computers/Technology,"150,000-199,999",Python;R;SQL,MongoDB,
25-29,Woman,Nigeria,Master’s degree,I have never written code,"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Accounting/Finance,"3,000-3,999",,,
35-39,Woman,United States of America,Master’s degree,10-20 years,Data Scientist,Computers/Technology,"150,000-199,999",Python;R;SQL,,
40-44,Woman,Kenya,Bachelor’s degree,I have never written code,"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Online Service/Internet-based Services,"25,000-29,999",,,
30-34,Woman,Canada,Master’s degree,5-10 years,Data Scientist,Accounting/Finance,"70,000-79,999",Python;R,,
25-29,Woman,Colombia,Master’s degree,1-3 years,"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Retail/Sales,"1,000-1,999",Python;R,,
25-29,Woman,Singapore,Bachelor’s degree,1-3 years,"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Accounting/Finance,,Python;Java,,
30-34,Woman,India,Master’s degree,5-10 years,Data Scientist,Computers/Technology,,Python;SQL,,
55-59,Woman,United States of America,Master’s degree,1-3 years,"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Computers/Technology,"90,000-99,999",,,
30-34,Woman,United States of America,Bachelor’s degree,I have never written code,Data Administrator,Retail/Sales,"60,000-69,999",,,
40-44,Woman,United States of America,Doctoral degree,1-3 years,"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Manufacturing/Fabrication,"125,000-149,999",,,
35-39,Woman,United States of America,Master’s degree,5-10 years,"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Computers/Technology,"20,000-24,999",Python;SQL,,
30-34,Woman,Israel,Bachelor’s degree,< 1 years,Data Scientist,Computers/Technology,$0-999,Python,,
35-39,Woman,India,I prefer not to answer,< 1 years,"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",,,SQL,,
40-44,Woman,Other,Master’s degree,5-10 years,Data Scientist,Broadcasting/Communications,"30,000-39,999",Python;SQL;C++;Bash,SQLite;MongoDB,Tableau
35-39,Woman,Romania,Doctoral degree,3-5 years,Data Scientist,Manufacturing/Fabrication,"50,000-59,999",Python;SQL,SQLite,
35-39,Woman,India,Master’s degree,1-3 years,Data Scientist,Other,"$500,000-999,999",Python,,
30-34,Woman,Ukraine,I prefer not to answer,I have never written code,"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Shipping/Transportation,,,,
25-29,Woman,Kenya,Bachelor’s degree,1-3 years,"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Non-profit/Service,"10,000-14,999",Python;R;SQL,SQLite;MongoDB,
35-39,Woman,United Arab Emirates,Master’s degree,10-20 years,"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Accounting/Finance,"60,000-69,999",SQL,,
25-29,Woman,India,Bachelor’s degree,I have never written code,"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Retail/Sales,$0-999,,,
25-29,Woman,Netherlands,Master’s degree,1-3 years,Data Scientist,Other,"40,000-49,999",Python;SQL,,
25-29,Woman,United States of America,Master’s degree,I have never written code,"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",,,,,
25-29,Woman,United States of America,Master’s degree,5-10 years,Data Scientist,Medical/Pharmaceutical,"125,000-149,999",Python;SQL,SQLite,
25-29,Woman,Indonesia,No formal education past high school,I have never written code,"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Retail/Sales,$0-999,,,
25-29,Woman,India,Bachelor’s degree,1-3 years,"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Computers/Technology,"1,000-1,999",Python,,
30-34,Woman,Other,Doctoral degree,5-10 years,Data Scientist,Other,"2,000-2,999",Python;SQL;Java,,
35-39,Woman,Spain,Master’s degree,1-3 years,"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Accounting/Finance,"20,000-24,999",Python;SQL;Bash,,
22-24,Woman,India,Bachelor’s degree,5-10 years,"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Online Service/Internet-based Services,"1,000-1,999",Python;SQL;C++;Java,,
25-29,Woman,India,Master’s degree,I have never written code,Data Scientist,Computers/Technology,"5,000-7,499",,,
30-34,Woman,India,Master’s degree,1-3 years,"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Computers/Technology,"15,000-19,999",Python;SQL,,Qlik Sense
35-39,Woman,France,Doctoral degree,1-3 years,Data Scientist,Energy/Mining,"50,000-59,999",Python;SQL;Bash,,
30-34,Woman,United States of America,Master’s degree,10-20 years,Data Scientist,Insurance/Risk Assessment,"100,000-124,999",Python;R;SQL,,
22-24,Woman,India,Master’s degree,< 1 years,Data Scientist,Computers/Technology,$0-999,SQL;C;C++,,
30-34,Woman,United Kingdom of Great Britain and Northern Ireland,Doctoral degree,5-10 years,Data Scientist,Marketing/CRM,"40,000-49,999",Python;R;SQL,,
30-34,Woman,Turkey,Doctoral degree,I have never written code,"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Academics/Education,"3,000-3,999",,,
30-34,Woman,Singapore,Master’s degree,5-10 years,"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Computers/Technology,"15,000-19,999",SQL,,
35-39,Woman,United States of America,Bachelor’s degree,< 1 years,"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Accounting/Finance,"90,000-99,999",,,
25-29,Woman,Nigeria,Master’s degree,1-3 years,Data Scientist,Online Service/Internet-based Services,"3,000-3,999",Python;SQL,PostgreSQL;SQLite;Snowflake,Qlik Sense
30-34,Woman,United States of America,Doctoral degree,3-5 years,Data Scientist,Academics/Education,"10,000-14,999",Python;R;Bash;MATLAB,,
45-49,Woman,United States of America,Master’s degree,10-20 years,Data Scientist,Marketing/CRM,"80,000-89,999",Python;R;SQL,,
22-24,Woman,Czech Republic,Master’s degree,3-5 years,"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Accounting/Finance,"5,000-7,499",Python;SQL,,
30-34,Woman,Other,Bachelor’s degree,5-10 years,Data Engineer,Computers/Technology,,Python;SQL;Bash,,
50-54,Woman,United Kingdom of Great Britain and Northern Ireland,Master’s degree,20+ years,Data Scientist,Computers/Technology,"100,000-124,999",Python,,
30-34,Woman,Nigeria,Doctoral degree,< 1 years,Data Scientist,Academics/Education,,Python,,
25-29,Woman,Indonesia,Master’s degree,1-3 years,"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Manufacturing/Fabrication,$0-999,Python;R;SQL,,
22-24,Woman,Kenya,Bachelor’s degree,1-3 years,Data Scientist,Computers/Technology,$0-999,Python;Javascript,MySQL,
40-44,Woman,Argentina,Master’s degree,10-20 years,Data Scientist,Accounting/Finance,"40,000-49,999",Python,,
35-39,Woman,United States of America,Doctoral degree,< 1 years,"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Other,"70,000-79,999",,,
30-34,Woman,United States of America,Master’s degree,3-5 years,"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Manufacturing/Fabrication,,Python;R;SQL;C#,,
22-24,Woman,India,Bachelor’s degree,1-3 years,Data Scientist,Marketing/CRM,,Python;SQL,,
25-29,Woman,Australia,Master’s degree,3-5 years,Data Scientist,Insurance/Risk Assessment,"50,000-59,999",Python;SQL,SQLite;Snowflake,
40-44,Woman,United States of America,Bachelor’s degree,20+ years,Data Scientist,Insurance/Risk Assessment,"150,000-199,999",Python;SQL,,
22-24,Woman,Turkey,Bachelor’s degree,1-3 years,Data Scientist,Computers/Technology,,Python;R;SQL;Javascript,,
35-39,Woman,Other,I prefer not to answer,< 1 years,"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Online Service/Internet-based Services,"1,000-1,999",Python,,
25-29,Woman,India,Bachelor’s degree,1-3 years,Data Scientist,Retail/Sales,"10,000-14,999",Python;SQL,,
30-34,Woman,United States of America,Master’s degree,3-5 years,"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Energy/Mining,"90,000-99,999",Python;R;SQL;C#;Bash,MySQL,
22-24,Woman,India,I prefer not to answer,< 1 years,"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Computers/Technology,$0-999,Python,,
30-34,Woman,India,Bachelor’s degree,< 1 years,Data Scientist,Academics/Education,$0-999,Python,,
25-29,Woman,India,I prefer not to answer,I have never written code,"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Insurance/Risk Assessment,,,,
22-24,Woman,India,Master’s degree,3-5 years,"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Marketing/CRM,,Python,,
22-24,Woman,India,Bachelor’s degree,I have never written code,"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Accounting/Finance,"1,000-1,999",,,
30-34,Woman,Russia,Some college/university study without earning a bachelor’s degree,< 1 years,Data Scientist,Computers/Technology,,SQL,,
35-39,Woman,United States of America,Master’s degree,5-10 years,"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Marketing/CRM,"125,000-149,999",Python;R;SQL,,
22-24,Woman,Indonesia,Bachelor’s degree,3-5 years,"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Shipping/Transportation,"15,000-19,999",Python;SQL,,
30-34,Woman,United States of America,Master’s degree,5-10 years,Data Scientist,Computers/Technology,"250,000-299,999",Python;SQL,,
35-39,Woman,Italy,Doctoral degree,5-10 years,Data Scientist,Computers/Technology,"40,000-49,999",Python;SQL;Bash,MySQL;SQLite,
22-24,Woman,India,Master’s degree,< 1 years,"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Other,$0-999,Python;R;C;Java,,
18-21,Woman,Other,Some college/university study without earning a bachelor’s degree,I have never written code,Data Scientist,Broadcasting/Communications,"250,000-299,999",,,
22-24,Woman,India,Master’s degree,5-10 years,Data Scientist,Computers/Technology,$0-999,Python;R,,
30-34,Woman,United States of America,Bachelor’s degree,< 1 years,"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Government/Public Service,"70,000-79,999",SQL,,
45-49,Woman,Japan,I prefer not to answer,20+ years,"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Computers/Technology,"4,000-4,999",,,
45-49,Woman,India,Bachelor’s degree,10-20 years,Data Scientist,Computers/Technology,"40,000-49,999",Python;R;Javascript,MongoDB,
55-59,Woman,Colombia,Doctoral degree,20+ years,Data Scientist,Computers/Technology,"20,000-24,999",R;Bash,MongoDB;Snowflake,
25-29,Woman,Brazil,Master’s degree,I have never written code,"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Marketing/CRM,$0-999,,,
25-29,Woman,India,Master’s degree,1-3 years,"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Computers/Technology,,Python;R;SQL,,
35-39,Woman,India,Doctoral degree,5-10 years,Data Engineer,Computers/Technology,"15,000-19,999",Python;SQL;C;Java;Bash,MySQL;PostgreSQL,
25-29,Woman,India,I prefer not to answer,< 1 years,"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Academics/Education,"4,000-4,999",Python;SQL,SQLite;Oracle Database,
30-34,Woman,India,Bachelor’s degree,I have never written code,Data Scientist,Government/Public Service,"10,000-14,999",,,
50-54,Woman,Ireland,Master’s degree,1-3 years,Data Scientist,Shipping/Transportation,"60,000-69,999",Python;R,,
25-29,Woman,Other,I prefer not to answer,< 1 years,"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Manufacturing/Fabrication,"15,000-19,999",Python;SQL,MongoDB,
60-69,Woman,United States of America,Bachelor’s degree,20+ years,Data Engineer,Academics/Education,"90,000-99,999",Python;R;SQL;Bash,,
35-39,Woman,France,Bachelor’s degree,1-3 years,Data Scientist,Medical/Pharmaceutical,,Python;R;SQL;MATLAB,,Google Data Studio
30-34,Woman,India,Master’s degree,5-10 years,Data Scientist,Academics/Education,"15,000-19,999",Python;C++,MongoDB;Snowflake,
35-39,Woman,United Kingdom of Great Britain and Northern Ireland,Doctoral degree,10-20 years,Data Scientist,Medical/Pharmaceutical,"70,000-79,999",R;Bash,MongoDB;Snowflake,
30-34,Woman,Tunisia,I prefer not to answer,5-10 years,Data Scientist,Computers/Technology,"10,000-14,999",Python;R,,
40-44,Woman,"Iran, Islamic Republic of...",Master’s degree,1-3 years,Data Scientist,Computers/Technology,,Python;SQL,,
35-39,Woman,China,Doctoral degree,5-10 years,Data Scientist,Retail/Sales,"15,000-19,999",Python;Java,Snowflake,Microsoft Power BI
40-44,Woman,United States of America,Master’s degree,1-3 years,"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Academics/Education,"30,000-39,999",,,
35-39,Woman,United States of America,Doctoral degree,10-20 years,Data Scientist,Manufacturing/Fabrication,"100,000-124,999",Python,,
40-44,Woman,United States of America,Bachelor’s degree,< 1 years,"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Government/Public Service,"50,000-59,999",,,
35-39,Woman,United Arab Emirates,Doctoral degree,10-20 years,Data Scientist,Academics/Education,"2,000-2,999",Python;R;SQL;Java;MATLAB,PostgreSQL,Google Data Studio
25-29,Woman,United Kingdom of Great Britain and Northern Ireland,Some college/university study without earning a bachelor’s degree,1-3 years,Data Administrator,Non-profit/Service,,,,
35-39,Woman,Other,Master’s degree,1-3 years,Data Scientist,Medical/Pharmaceutical,"10,000-14,999",Python;R;SQL;Javascript,MySQL;Oracle Database;MongoDB;Snowflake,
35-39,Woman,Philippines,Bachelor’s degree,< 1 years,"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Government/Public Service,"1,000-1,999",SQL;C++;Java;Javascript,,
25-29,Woman,India,Bachelor’s degree,I have never written code,"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Marketing/CRM,"1,000-1,999",,,
22-24,Woman,India,Master’s degree,1-3 years,Data Scientist,Insurance/Risk Assessment,"15,000-19,999",Python;SQL,MySQL;Snowflake,
35-39,Woman,Egypt,Bachelor’s degree,< 1 years,"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Other,"1,000-1,999",Python,,
22-24,Woman,India,Bachelor’s degree,1-3 years,Data Scientist,Online Service/Internet-based Services,"7,500-9,999",Python;SQL,SQLite,
35-39,Woman,United Kingdom of Great Britain and Northern Ireland,Master’s degree,5-10 years,"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Insurance/Risk Assessment,"70,000-79,999",Python;SQL,SQLite,
35-39,Woman,India,Master’s degree,5-10 years,"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Accounting/Finance,,SQL,,
35-39,Woman,India,I prefer not to answer,1-3 years,Data Scientist,Academics/Education,"20,000-24,999",Python;SQL;C;C++,,
35-39,Woman,United States of America,Master’s degree,1-3 years,"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Accounting/Finance,"90,000-99,999",Python;R;Javascript,,
22-24,Woman,India,Master’s degree,1-3 years,Data Engineer,Computers/Technology,,Python;SQL;Javascript,,
30-34,Woman,Philippines,Bachelor’s degree,I have never written code,"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Computers/Technology,$0-999,,,
35-39,Woman,Other,Master’s degree,10-20 years,Data Engineer,Marketing/CRM,"60,000-69,999",Python;SQL;Bash,SQLite;MongoDB,
25-29,Woman,India,Bachelor’s degree,< 1 years,"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Computers/Technology,"10,000-14,999",Python;SQL,,
25-29,Woman,United States of America,Master’s degree,3-5 years,Data Scientist,Other,"150,000-199,999",Python;SQL,,
35-39,Woman,United States of America,Master’s degree,10-20 years,Data Engineer,Accounting/Finance,"150,000-199,999",,,
30-34,Woman,Nigeria,Master’s degree,5-10 years,Data Engineer,Computers/Technology,$0-999,Python;R;SQL;Javascript;Bash;MATLAB,,
30-34,Woman,India,Bachelor’s degree,3-5 years,Data Engineer,Other,"7,500-9,999",Python;MATLAB,SQLite,
25-29,Woman,United States of America,Master’s degree,< 1 years,"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Other,"80,000-89,999",Python;R;SQL,,
30-34,Woman,India,Bachelor’s degree,I have never written code,"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Manufacturing/Fabrication,"7,500-9,999",,,
30-34,Woman,United Kingdom of Great Britain and Northern Ireland,Doctoral degree,5-10 years,Data Scientist,Manufacturing/Fabrication,"100,000-124,999",Python;SQL,PostgreSQL;SQLite,Google Data Studio;Qlik Sense
35-39,Woman,United States of America,Master’s degree,1-3 years,Data Engineer,Insurance/Risk Assessment,"60,000-69,999",Python;R;SQL,PostgreSQL,
22-24,Woman,India,Bachelor’s degree,< 1 years,Data Engineer,Accounting/Finance,,Python;SQL;Java,,
25-29,Woman,India,Bachelor’s degree,3-5 years,Data Engineer,Non-profit/Service,$0-999,Python;SQL,,
30-34,Woman,Indonesia,Bachelor’s degree,< 1 years,"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Marketing/CRM,"1,000-1,999",Python;SQL,,
22-24,Woman,India,Bachelor’s degree,< 1 years,"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Marketing/CRM,,Python;SQL;MATLAB,,
30-34,Woman,United States of America,Bachelor’s degree,5-10 years,"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Medical/Pharmaceutical,"100,000-124,999",Python;R;SQL;Javascript,PostgreSQL;SQLite;Oracle Database,Tableau;Qlik Sense
40-44,Woman,India,Bachelor’s degree,3-5 years,Data Scientist,Other,$0-999,Python;R,,
25-29,Woman,Malaysia,Master’s degree,3-5 years,"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Government/Public Service,$0-999,Python;SQL,,
30-34,Woman,India,Master’s degree,1-3 years,Data Scientist,Computers/Technology,$0-999,Python;SQL;C;C++,,
22-24,Woman,Taiwan,Master’s degree,1-3 years,Data Scientist,Accounting/Finance,"4,000-4,999",Python,,
25-29,Woman,United States of America,Some college/university study without earning a bachelor’s degree,1-3 years,"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Retail/Sales,"40,000-49,999",Python;SQL,SQLite,
30-34,Woman,Taiwan,I prefer not to answer,< 1 years,Data Engineer,Computers/Technology,,Python;SQL,,
55-59,Woman,United States of America,Master’s degree,< 1 years,"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Computers/Technology,$0-999,R;SQL,,
30-34,Woman,Poland,Master’s degree,< 1 years,"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Broadcasting/Communications,"10,000-14,999",Python;R;SQL;Javascript,MongoDB,
22-24,Woman,India,Bachelor’s degree,< 1 years,"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Computers/Technology,"5,000-7,499",Python,,
25-29,Woman,India,Bachelor’s degree,3-5 years,Data Scientist,Medical/Pharmaceutical,"25,000-29,999",Python;SQL,SQLite,
35-39,Woman,Taiwan,Professional doctorate,10-20 years,Data Scientist,Medical/Pharmaceutical,"3,000-3,999",Python;R;SQL;C#;Java;PHP,,Qlik Sense
45-49,Woman,Brazil,I prefer not to answer,I have never written code,Data Engineer,Energy/Mining,$0-999,,,
30-34,Woman,United States of America,Bachelor’s degree,3-5 years,"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Computers/Technology,"100,000-124,999",SQL,MySQL;PostgreSQL,
35-39,Woman,United States of America,Master’s degree,3-5 years,"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Academics/Education,"100,000-124,999",Python;SQL,,
18-21,Woman,India,Master’s degree,1-3 years,Data Scientist,Computers/Technology,"5,000-7,499",Python;SQL,PostgreSQL,
25-29,Woman,Argentina,Master’s degree,1-3 years,Data Scientist,Online Service/Internet-based Services,,Python;SQL;C#;Java,,
25-29,Woman,Russia,Bachelor’s degree,< 1 years,"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Computers/Technology,"30,000-39,999",Python;R;SQL;MATLAB;Julia,,
25-29,Woman,Other,Master’s degree,1-3 years,"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Accounting/Finance,"7,500-9,999",Python;SQL,,
50-54,Woman,Brazil,Some college/university study without earning a bachelor’s degree,5-10 years,"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Academics/Education,"15,000-19,999",Python;SQL;C#;PHP,,
35-39,Woman,Turkey,Master’s degree,1-3 years,"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Non-profit/Service,"25,000-29,999",Python,SQLite,Tableau
22-24,Woman,Nigeria,Bachelor’s degree,1-3 years,"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Accounting/Finance,$0-999,Python;SQL;Javascript;MATLAB,MySQL;PostgreSQL,Google Data Studio;Qlik Sense
60-69,Woman,Italy,Master’s degree,< 1 years,Data Administrator,Academics/Education,"40,000-49,999",Python;R;Javascript;PHP,,
22-24,Woman,India,Bachelor’s degree,1-3 years,"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Computers/Technology,"5,000-7,499",Python;SQL,,
40-44,Woman,India,Master’s degree,10-20 years,Data Scientist,Computers/Technology,"90,000-99,999",Python;R;SQL;C#,,
22-24,Woman,Nigeria,Master’s degree,< 1 years,"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Non-profit/Service,$0-999,Python,,
30-34,Woman,United States of America,Master’s degree,3-5 years,Data Scientist,Computers/Technology,"100,000-124,999",Python;R,SQLite,
35-39,Woman,United States of America,Bachelor’s degree,1-3 years,Data Scientist,Government/Public Service,,Python;SQL,,
25-29,Woman,India,Master’s degree,3-5 years,"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Computers/Technology,$0-999,Python;SQL;C,,
